compound,name,negative,neutral,positive,ticker
0.4824,REBGLO,0.015,0.965,0.02,KeY
0.4824,REBGLO,0.015,0.965,0.02,KeY
0.368,REBGLO,0.01,0.976,0.014,KeY
0.9972,REBGLO,0.022,0.895,0.083,KeY
0.9428,REBGLO,0.0,0.847,0.153,KeY
-0.7096,REBGLO,0.018,0.978,0.004,KeY
-0.5719,REBGLO,0.017,0.978,0.005,KeY
0.25,REBGLO,0.05,0.901,0.05,KeY
0.5424,REBGLO,0.074,0.844,0.082,KeY
0.9524,REBGLO,0.019,0.897,0.084,KeY
-0.4939,REBGLO,0.017,0.974,0.009,KeY
-0.0772,REBGLO,0.005,0.991,0.004,KeY
0.9311,REBGLO,0.004,0.93,0.066,KeY
0.9905,REBGLO,0.039,0.784,0.177,KeY
0.34,REBGLO,0.0,0.982,0.018,KeY
0.9326,REBGLO,0.021,0.881,0.097,KeY
-0.6144,REBGLO,0.061,0.885,0.054,KeY
0.9659,REBGLO,0.01,0.91,0.08,KeY
0.6249,REBGLO,0.0,0.863,0.137,KeY
0.6553,REBGLO,0.0,0.984,0.016,KeY
0.296,REBGLO,0.0,0.942,0.058,KeY
0.9776,REBGLO,0.013,0.875,0.111,KeY
-0.0943,REBGLO,0.02,0.963,0.017,KeY
0.5622,REBGLO,0.013,0.966,0.021,KeY
0.9976,REBGLO,0.004,0.839,0.157,KeY
-0.3612,REBGLO,0.011,0.985,0.005,KeY
-0.7964,REBGLO,0.027,0.968,0.005,KeY
-0.5719,REBGLO,0.018,0.977,0.005,KeY
-0.3612,REBGLO,0.01,0.985,0.005,KeY
0.9902,REBGLO,0.006,0.866,0.129,KeY
-0.9438,REBGLO,0.046,0.938,0.015,KeY
0.9968,REBGLO,0.03,0.842,0.129,KeY
0.9976,REBGLO,0.004,0.84,0.156,KeY
0.9826,REBGLO,0.011,0.913,0.076,KeY
0.9774,REBGLO,0.02,0.84,0.14,KeY
0.6826,REBGLO,0.081,0.812,0.107,KeY
0.9893,REBGLO,0.016,0.913,0.071,KeY
0.6553,REBGLO,0.0,0.9,0.1,KeY
0.4871,REBGLO,0.0,0.982,0.018,KeY
0.9862,REBGLO,0.0,0.796,0.204,KeY
0.7184,REBGLO,0.0,0.875,0.125,KeY
0.34,REBGLO,0.0,0.959,0.041,KeY
-0.2263,REBGLO,0.015,0.974,0.011,KeY
-0.7096,REBGLO,0.02,0.975,0.004,KeY
0.34,REBGLO,0.015,0.967,0.018,KeY
0.7717,REBGLO,0.0,0.974,0.026,KeY
-0.4669,REBGLO,0.082,0.85,0.068,KeY
0.9444,REBGLO,0.01,0.904,0.086,KeY
0.7806,REBGLO,0.063,0.85,0.087,KeY
-0.8107,REBGLO,0.074,0.883,0.043,KeY
0.63,REBGLO,0.086,0.791,0.122,KeY
0.8481,REBGLO,0.0,0.977,0.023,KeY
-0.2263,REBGLO,0.016,0.972,0.012,KeY
0.9992,REBGLO,0.044,0.814,0.142,KeY
0.4019,REBGLO,0.009,0.978,0.013,KeY
0.7717,REBGLO,0.005,0.974,0.021,KeY
0.3612,REBGLO,0.006,0.982,0.012,KeY
0.4939,REBGLO,0.016,0.964,0.021,KeY
0.9695,REBGLO,0.08,0.75,0.171,KeY
0.9874,REBGLO,0.053,0.761,0.186,KeY
0.2023,REBGLO,0.015,0.964,0.021,KeY
-0.7096,REBGLO,0.03,0.963,0.006,KeY
-0.5719,REBGLO,0.023,0.97,0.007,KeY
-0.7096,REBGLO,0.025,0.969,0.005,KeY
-0.5719,REBGLO,0.021,0.973,0.006,KeY
-0.1027,REBGLO,0.02,0.962,0.018,KeY
-0.7964,REBGLO,0.036,0.958,0.006,KeY
0.7456,REBGLO,0.01,0.967,0.023,KeY
-0.2263,REBGLO,0.024,0.96,0.017,KeY
0.4824,REBGLO,0.014,0.967,0.019,KeY
0.7125,REBGLO,0.015,0.959,0.026,KeY
0.9927,REBGLO,0.009,0.872,0.119,KeY
0.7269,REBGLO,0.035,0.903,0.063,KeY
0.997,REBGLO,0.0,0.878,0.122,KeY
1.0,REBGLO,0.014,0.782,0.205,KeY
0.9995,REBGLO,0.009,0.89,0.101,KeY
1.0,REBGLO,0.017,0.825,0.158,KeY
-1.0,REBGLO,0.153,0.766,0.081,KeY
0.9997,REBGLO,0.021,0.851,0.128,KeY
0.9999,REBGLO,0.015,0.856,0.128,KeY
0.9984,REBGLO,0.042,0.86,0.098,KeY
1.0,REBGLO,0.053,0.852,0.094,KeY
1.0,REBGLO,0.065,0.821,0.114,KeY
0.9565,REBGLO,0.044,0.82,0.137,KeY
0.9992,REBGLO,0.035,0.866,0.099,KeY
0.9944,REBGLO,0.024,0.877,0.1,KeY
0.9864,REBGLO,0.03,0.899,0.071,KeY
0.9864,REBGLO,0.029,0.901,0.069,KeY
0.998,REBGLO,0.022,0.821,0.157,KeY
0.9996,REBGLO,0.007,0.853,0.139,KeY
0.9996,REBGLO,0.007,0.853,0.139,KeY
0.997,REBGLO,0.003,0.875,0.122,KeY
0.998,REBGLO,0.022,0.822,0.157,KeY
0.7262,REBGLO,0.079,0.808,0.113,KeY
0.9796,REBGLO,0.0,0.791,0.209,KeY
0.9913,REBGLO,0.005,0.873,0.122,KeY
0.2263,REBGLO,0.0,0.99,0.01,KeY
0.079,REBGLO,0.036,0.927,0.038,KeY
0.9794,REBGLO,0.049,0.891,0.06,KeY
0.9007,REBGLO,0.051,0.814,0.134,KeY
